"signal_id","opcua_node_id","display_name_pt_br","description_pt_br","area_code","area_name_pt_br","equipment_id","equipment_name_pt_br","scope","loop_id","analytical_role","data_type","engineering_unit","nominal_cadence_seconds","normal_range","scenario_relevance","context_for_loop_ids"
"SIG-0001","ns=2;s=Plant.ControlLoops.FIC-101.PV","PV — Vazão de carga da unidade","Variável de processo medida: Vazão de alimentação.","FEED","Alimentação e pré-aquecimento","FIC-101","Vazão de carga da unidade","control_loop","FIC-101","cpm.pv","number","m³/h","30","0..1000","normal.steady","FIC-101"
"SIG-0017","ns=2;s=Plant.ControlLoops.TIC-104.SP","SP — Temperatura de saída do pré-aquecimento","Referência operacional ou supervisória para temperatura de carga aquecida.","FEED","Alimentação e pré-aquecimento","TIC-104","Temperatura de saída do pré-aquecimento","control_loop","TIC-104","cpm.sp","number","°C","30","-20..700","process.disturbance","TIC-104"
"SIG-0018","ns=2;s=Plant.ControlLoops.TIC-104.OP","OP — Temperatura de saída do pré-aquecimento","Demanda calculada pelo controlador para referência de vazão do fluido quente.","FEED","Alimentação e pré-aquecimento","TIC-104","Temperatura de saída do pré-aquecimento","control_loop","TIC-104","cpm.op","number","%","10","0..100","process.disturbance","TIC-104"
"SIG-0019","ns=2;s=Plant.ControlLoops.TIC-104.MODE","Modo — Temperatura de saída do pré-aquecimento","Modo efetivo do controlador: automático, manual, cascata ou remoto.","FEED","Alimentação e pré-aquecimento","TIC-104","Temperatura de saída do pré-aquecimento","control_loop","TIC-104","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","process.disturbance","TIC-104"
"SIG-0020","ns=2;s=Plant.ControlLoops.TIC-104.MVFB","Resposta do elemento final — Temperatura de saída do pré-aquecimento","Resposta física medida do elemento final: Referência de vazão do fluido quente.","FEED","Alimentação e pré-aquecimento","TIC-104","Temperatura de saída do pré-aquecimento","control_loop","TIC-104","","number","%","10","0..100","process.disturbance","TIC-104"
"SIG-0021","ns=2;s=Plant.ControlLoops.AIC-105.PV","PV — Água e sais na carga","Variável de processo medida: Teor de água e sais na alimentação.","FEED","Alimentação e pré-aquecimento","AIC-105","Água e sais na carga","control_loop","AIC-105","cpm.pv","number","ppm","30","0..5000","data.gap","AIC-105"
"SIG-0022","ns=2;s=Plant.ControlLoops.AIC-105.SP","SP — Água e sais na carga","Referência operacional ou supervisória para teor de água e sais na alimentação.","FEED","Alimentação e pré-aquecimento","AIC-105","Água e sais na carga","control_loop","AIC-105","cpm.sp","number","ppm","30","0..5000","data.gap","AIC-105"
"SIG-0023","ns=2;s=Plant.ControlLoops.AIC-105.OP","OP — Água e sais na carga","Demanda calculada pelo controlador para referência de água de lavagem.","FEED","Alimentação e pré-aquecimento","AIC-105","Água e sais na carga","control_loop","AIC-105","cpm.op","number","%","10","0..100","data.gap","AIC-105"
"SIG-0024","ns=2;s=Plant.ControlLoops.AIC-105.MODE","Modo — Água e sais na carga","Modo efetivo do controlador: automático, manual, cascata ou remoto.","FEED","Alimentação e pré-aquecimento","AIC-105","Água e sais na carga","control_loop","AIC-105","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","data.gap","AIC-105"
"SIG-0025","ns=2;s=Plant.ControlLoops.AIC-105.MVFB","Resposta do elemento final — Água e sais na carga","Resposta física medida do elemento final: Referência de água de lavagem.","FEED","Alimentação e pré-aquecimento","AIC-105","Água e sais na carga","control_loop","AIC-105","","number","%","10","0..100","data.gap","AIC-105"
"SIG-0026","ns=2;s=Plant.ControlLoops.FIC-201.PV","PV — Vazão de alimentação da coluna","Variável de processo medida: Vazão de carga da coluna atmosférica.","DIST","Destilação","FIC-201","Vazão de alimentação da coluna","control_loop","FIC-201","cpm.pv","number","m³/h","30","0..1000","normal.steady","FIC-201"
"SIG-0027","ns=2;s=Plant.ControlLoops.FIC-201.SP","SP — Vazão de alimentação da coluna","Referência operacional ou supervisória para vazão de carga da coluna atmosférica.","DIST","Destilação","FIC-201","Vazão de alimentação da coluna","control_loop","FIC-201","cpm.sp","number","m³/h","30","0..1000","normal.steady","FIC-201"
"SIG-0028","ns=2;s=Plant.ControlLoops.FIC-201.OP","OP — Vazão de alimentação da coluna","Demanda calculada pelo controlador para posição da válvula de alimentação.","DIST","Destilação","FIC-201","Vazão de alimentação da coluna","control_loop","FIC-201","cpm.op","number","%","10","0..100","normal.steady","FIC-201"
"SIG-0029","ns=2;s=Plant.ControlLoops.FIC-201.MODE","Modo — Vazão de alimentação da coluna","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","FIC-201","Vazão de alimentação da coluna","control_loop","FIC-201","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","normal.steady","FIC-201"
"SIG-0030","ns=2;s=Plant.ControlLoops.FIC-201.MVFB","Resposta do elemento final — Vazão de alimentação da coluna","Resposta física medida do elemento final: Posição da válvula de alimentação.","DIST","Destilação","FIC-201","Vazão de alimentação da coluna","control_loop","FIC-201","cpm.valve_position","number","%","10","0..100","normal.steady","FIC-201"
"SIG-0031","ns=2;s=Plant.ControlLoops.PIC-202.PV","PV — Pressão do topo da coluna","Variável de processo medida: Pressão do topo da coluna.","DIST","Destilação","PIC-202","Pressão do topo da coluna","control_loop","PIC-202","cpm.pv","number","bar","30","0..250","control.oscillation","PIC-202"
"SIG-0032","ns=2;s=Plant.ControlLoops.PIC-202.SP","SP — Pressão do topo da coluna","Referência operacional ou supervisória para pressão do topo da coluna.","DIST","Destilação","PIC-202","Pressão do topo da coluna","control_loop","PIC-202","cpm.sp","number","bar","30","0..250","control.oscillation","PIC-202"
"SIG-0033","ns=2;s=Plant.ControlLoops.PIC-202.OP","OP — Pressão do topo da coluna","Demanda calculada pelo controlador para demanda combinada do condensador e vent.","DIST","Destilação","PIC-202","Pressão do topo da coluna","control_loop","PIC-202","cpm.op","number","%","10","0..100","control.oscillation","PIC-202"
"SIG-0034","ns=2;s=Plant.ControlLoops.PIC-202.MODE","Modo — Pressão do topo da coluna","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","PIC-202","Pressão do topo da coluna","control_loop","PIC-202","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","control.oscillation","PIC-202"
"SIG-0035","ns=2;s=Plant.ControlLoops.PIC-202.MVFB","Resposta do elemento final — Pressão do topo da coluna","Resposta física medida do elemento final: Demanda combinada do condensador e vent.","DIST","Destilação","PIC-202","Pressão do topo da coluna","control_loop","PIC-202","","number","%","10","0..100","control.oscillation","PIC-202"
"SIG-0036","ns=2;s=Plant.ControlLoops.TIC-203.PV","PV — Temperatura do topo da coluna","Variável de processo medida: Temperatura do produto de topo.","DIST","Destilação","TIC-203","Temperatura do topo da coluna","control_loop","TIC-203","cpm.pv","number","°C","30","-20..700","sensor.drift","TIC-203"
"SIG-0037","ns=2;s=Plant.ControlLoops.TIC-203.SP","SP — Temperatura do topo da coluna","Referência operacional ou supervisória para temperatura do produto de topo.","DIST","Destilação","TIC-203","Temperatura do topo da coluna","control_loop","TIC-203","cpm.sp","number","°C","30","-20..700","sensor.drift","TIC-203"
"SIG-0038","ns=2;s=Plant.ControlLoops.TIC-203.OP","OP — Temperatura do topo da coluna","Demanda calculada pelo controlador para referência da vazão de refluxo.","DIST","Destilação","TIC-203","Temperatura do topo da coluna","control_loop","TIC-203","cpm.op","number","%","10","0..100","sensor.drift","TIC-203"
"SIG-0039","ns=2;s=Plant.ControlLoops.TIC-203.MODE","Modo — Temperatura do topo da coluna","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","TIC-203","Temperatura do topo da coluna","control_loop","TIC-203","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","sensor.drift","TIC-203"
"SIG-0040","ns=2;s=Plant.ControlLoops.TIC-203.MVFB","Resposta do elemento final — Temperatura do topo da coluna","Resposta física medida do elemento final: Referência da vazão de refluxo.","DIST","Destilação","TIC-203","Temperatura do topo da coluna","control_loop","TIC-203","","number","%","10","0..100","sensor.drift","TIC-203"
"SIG-0041","ns=2;s=Plant.ControlLoops.TIC-204.PV","PV — Temperatura do fundo da coluna","Variável de processo medida: Temperatura do fundo da coluna.","DIST","Destilação","TIC-204","Temperatura do fundo da coluna","control_loop","TIC-204","cpm.pv","number","°C","30","-20..700","control.sluggish_tuning","TIC-204"
"SIG-0042","ns=2;s=Plant.ControlLoops.TIC-204.SP","SP — Temperatura do fundo da coluna","Referência operacional ou supervisória para temperatura do fundo da coluna.","DIST","Destilação","TIC-204","Temperatura do fundo da coluna","control_loop","TIC-204","cpm.sp","number","°C","30","-20..700","control.sluggish_tuning","TIC-204"
"SIG-0043","ns=2;s=Plant.ControlLoops.TIC-204.OP","OP — Temperatura do fundo da coluna","Demanda calculada pelo controlador para referência de vapor do refervedor.","DIST","Destilação","TIC-204","Temperatura do fundo da coluna","control_loop","TIC-204","cpm.op","number","%","10","0..100","control.sluggish_tuning","TIC-204"
"SIG-0044","ns=2;s=Plant.ControlLoops.TIC-204.MODE","Modo — Temperatura do fundo da coluna","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","TIC-204","Temperatura do fundo da coluna","control_loop","TIC-204","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","control.sluggish_tuning","TIC-204"
"SIG-0045","ns=2;s=Plant.ControlLoops.TIC-204.MVFB","Resposta do elemento final — Temperatura do fundo da coluna","Resposta física medida do elemento final: Referência de vapor do refervedor.","DIST","Destilação","TIC-204","Temperatura do fundo da coluna","control_loop","TIC-204","","number","%","10","0..100","control.sluggish_tuning","TIC-204"
"SIG-0046","ns=2;s=Plant.ControlLoops.LIC-205.PV","PV — Nível do vaso de refluxo","Variável de processo medida: Nível do vaso de refluxo.","DIST","Destilação","LIC-205","Nível do vaso de refluxo","control_loop","LIC-205","cpm.pv","number","%","30","0..100","operations.manual","LIC-205"
"SIG-0047","ns=2;s=Plant.ControlLoops.LIC-205.SP","SP — Nível do vaso de refluxo","Referência operacional ou supervisória para nível do vaso de refluxo.","DIST","Destilação","LIC-205","Nível do vaso de refluxo","control_loop","LIC-205","cpm.sp","number","%","30","0..100","operations.manual","LIC-205"
"SIG-0048","ns=2;s=Plant.ControlLoops.LIC-205.OP","OP — Nível do vaso de refluxo","Demanda calculada pelo controlador para posição da válvula de destilado.","DIST","Destilação","LIC-205","Nível do vaso de refluxo","control_loop","LIC-205","cpm.op","number","%","10","0..100","operations.manual","LIC-205"
"SIG-0049","ns=2;s=Plant.ControlLoops.LIC-205.MODE","Modo — Nível do vaso de refluxo","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","LIC-205","Nível do vaso de refluxo","control_loop","LIC-205","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","operations.manual","LIC-205"
"SIG-0050","ns=2;s=Plant.ControlLoops.LIC-205.MVFB","Resposta do elemento final — Nível do vaso de refluxo","Resposta física medida do elemento final: Posição da válvula de destilado.","DIST","Destilação","LIC-205","Nível do vaso de refluxo","control_loop","LIC-205","cpm.valve_position","number","%","10","0..100","operations.manual","LIC-205"
"SIG-0051","ns=2;s=Plant.ControlLoops.FIC-206.PV","PV — Vazão de refluxo","Variável de processo medida: Vazão de refluxo para a coluna.","DIST","Destilação","FIC-206","Vazão de refluxo","control_loop","FIC-206","cpm.pv","number","m³/h","30","0..1000","valve.stiction","FIC-206"
"SIG-0052","ns=2;s=Plant.ControlLoops.FIC-206.SP","SP — Vazão de refluxo","Referência operacional ou supervisória para vazão de refluxo para a coluna.","DIST","Destilação","FIC-206","Vazão de refluxo","control_loop","FIC-206","cpm.sp","number","m³/h","30","0..1000","valve.stiction","FIC-206"
"SIG-0053","ns=2;s=Plant.ControlLoops.FIC-206.OP","OP — Vazão de refluxo","Demanda calculada pelo controlador para posição da válvula de refluxo.","DIST","Destilação","FIC-206","Vazão de refluxo","control_loop","FIC-206","cpm.op","number","%","10","0..100","valve.stiction","FIC-206"
"SIG-0054","ns=2;s=Plant.ControlLoops.FIC-206.MODE","Modo — Vazão de refluxo","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","FIC-206","Vazão de refluxo","control_loop","FIC-206","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","valve.stiction","FIC-206"
"SIG-0055","ns=2;s=Plant.ControlLoops.FIC-206.MVFB","Resposta do elemento final — Vazão de refluxo","Resposta física medida do elemento final: Posição da válvula de refluxo.","DIST","Destilação","FIC-206","Vazão de refluxo","control_loop","FIC-206","cpm.valve_position","number","%","10","0..100","valve.stiction","FIC-206"
"SIG-0056","ns=2;s=Plant.ControlLoops.FIC-207.PV","PV — Vazão de retirada lateral","Variável de processo medida: Vazão do produto lateral.","DIST","Destilação","FIC-207","Vazão de retirada lateral","control_loop","FIC-207","cpm.pv","number","m³/h","30","0..1000","actuator.saturation","FIC-207"
"SIG-0057","ns=2;s=Plant.ControlLoops.FIC-207.SP","SP — Vazão de retirada lateral","Referência operacional ou supervisória para vazão do produto lateral.","DIST","Destilação","FIC-207","Vazão de retirada lateral","control_loop","FIC-207","cpm.sp","number","m³/h","30","0..1000","actuator.saturation","FIC-207"
"SIG-0058","ns=2;s=Plant.ControlLoops.FIC-207.OP","OP — Vazão de retirada lateral","Demanda calculada pelo controlador para posição da válvula de produto.","DIST","Destilação","FIC-207","Vazão de retirada lateral","control_loop","FIC-207","cpm.op","number","%","10","0..100","actuator.saturation","FIC-207"
"SIG-0059","ns=2;s=Plant.ControlLoops.FIC-207.MODE","Modo — Vazão de retirada lateral","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","FIC-207","Vazão de retirada lateral","control_loop","FIC-207","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","actuator.saturation","FIC-207"
"SIG-0060","ns=2;s=Plant.ControlLoops.FIC-207.MVFB","Resposta do elemento final — Vazão de retirada lateral","Resposta física medida do elemento final: Posição da válvula de produto.","DIST","Destilação","FIC-207","Vazão de retirada lateral","control_loop","FIC-207","cpm.valve_position","number","%","10","0..100","actuator.saturation","FIC-207"
"SIG-0061","ns=2;s=Plant.ControlLoops.LIC-208.PV","PV — Nível do fundo da coluna","Variável de processo medida: Nível do fundo da coluna.","DIST","Destilação","LIC-208","Nível do fundo da coluna","control_loop","LIC-208","cpm.pv","number","%","30","0..100","process.interaction","LIC-208"
"SIG-0062","ns=2;s=Plant.ControlLoops.LIC-208.SP","SP — Nível do fundo da coluna","Referência operacional ou supervisória para nível do fundo da coluna.","DIST","Destilação","LIC-208","Nível do fundo da coluna","control_loop","LIC-208","cpm.sp","number","%","30","0..100","process.interaction","LIC-208"
"SIG-0063","ns=2;s=Plant.ControlLoops.LIC-208.OP","OP — Nível do fundo da coluna","Demanda calculada pelo controlador para velocidade da bomba de fundo.","DIST","Destilação","LIC-208","Nível do fundo da coluna","control_loop","LIC-208","cpm.op","number","%","10","0..100","process.interaction","LIC-208"
"SIG-0064","ns=2;s=Plant.ControlLoops.LIC-208.MODE","Modo — Nível do fundo da coluna","Modo efetivo do controlador: automático, manual, cascata ou remoto.","DIST","Destilação","LIC-208","Nível do fundo da coluna","control_loop","LIC-208","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","process.interaction","LIC-208"
"SIG-0065","ns=2;s=Plant.ControlLoops.LIC-208.MVFB","Resposta do elemento final — Nível do fundo da coluna","Resposta física medida do elemento final: Velocidade da bomba de fundo.","DIST","Destilação","LIC-208","Nível do fundo da coluna","control_loop","LIC-208","","number","%","10","0..100","process.interaction","LIC-208"
"SIG-0066","ns=2;s=Plant.ControlLoops.FIC-301.PV","PV — Vazão de carga do hidrotratamento","Variável de processo medida: Vazão de hidrocarboneto para o reator.","HDT","Hidrotratamento e reação","FIC-301","Vazão de carga do hidrotratamento","control_loop","FIC-301","cpm.pv","number","m³/h","30","0..1000","normal.steady","FIC-301"
"SIG-0067","ns=2;s=Plant.ControlLoops.FIC-301.SP","SP — Vazão de carga do hidrotratamento","Referência operacional ou supervisória para vazão de hidrocarboneto para o reator.","HDT","Hidrotratamento e reação","FIC-301","Vazão de carga do hidrotratamento","control_loop","FIC-301","cpm.sp","number","m³/h","30","0..1000","normal.steady","FIC-301"
"SIG-0068","ns=2;s=Plant.ControlLoops.FIC-301.OP","OP — Vazão de carga do hidrotratamento","Demanda calculada pelo controlador para posição da válvula de carga.","HDT","Hidrotratamento e reação","FIC-301","Vazão de carga do hidrotratamento","control_loop","FIC-301","cpm.op","number","%","10","0..100","normal.steady","FIC-301"
"SIG-0069","ns=2;s=Plant.ControlLoops.FIC-301.MODE","Modo — Vazão de carga do hidrotratamento","Modo efetivo do controlador: automático, manual, cascata ou remoto.","HDT","Hidrotratamento e reação","FIC-301","Vazão de carga do hidrotratamento","control_loop","FIC-301","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","normal.steady","FIC-301"
"SIG-0070","ns=2;s=Plant.ControlLoops.FIC-301.MVFB","Resposta do elemento final — Vazão de carga do hidrotratamento","Resposta física medida do elemento final: Posição da válvula de carga.","HDT","Hidrotratamento e reação","FIC-301","Vazão de carga do hidrotratamento","control_loop","FIC-301","cpm.valve_position","number","%","10","0..100","normal.steady","FIC-301"
"SIG-0071","ns=2;s=Plant.ControlLoops.FRC-302.PV","PV — Razão hidrogênio/óleo","Variável de processo medida: Razão molar hidrogênio/óleo.","HDT","Hidrotratamento e reação","FRC-302","Razão hidrogênio/óleo","control_loop","FRC-302","cpm.pv","number","ratio","30","0..20","operations.setpoint_activity","FRC-302"
"SIG-0072","ns=2;s=Plant.ControlLoops.FRC-302.SP","SP — Razão hidrogênio/óleo","Referência operacional ou supervisória para razão molar hidrogênio/óleo.","HDT","Hidrotratamento e reação","FRC-302","Razão hidrogênio/óleo","control_loop","FRC-302","cpm.sp","number","ratio","30","0..20","operations.setpoint_activity","FRC-302"
"SIG-0073","ns=2;s=Plant.ControlLoops.FRC-302.OP","OP — Razão hidrogênio/óleo","Demanda calculada pelo controlador para referência da vazão de hidrogênio.","HDT","Hidrotratamento e reação","FRC-302","Razão hidrogênio/óleo","control_loop","FRC-302","cpm.op","number","%","10","0..100","operations.setpoint_activity","FRC-302"
"SIG-0074","ns=2;s=Plant.ControlLoops.FRC-302.MODE","Modo — Razão hidrogênio/óleo","Modo efetivo do controlador: automático, manual, cascata ou remoto.","HDT","Hidrotratamento e reação","FRC-302","Razão hidrogênio/óleo","control_loop","FRC-302","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","operations.setpoint_activity","FRC-302"
"SIG-0075","ns=2;s=Plant.ControlLoops.FRC-302.MVFB","Resposta do elemento final — Razão hidrogênio/óleo","Resposta física medida do elemento final: Referência da vazão de hidrogênio.","HDT","Hidrotratamento e reação","FRC-302","Razão hidrogênio/óleo","control_loop","FRC-302","","number","%","10","0..100","operations.setpoint_activity","FRC-302"
"SIG-0076","ns=2;s=Plant.ControlLoops.TIC-303.PV","PV — Temperatura de entrada do reator","Variável de processo medida: Temperatura de entrada do reator.","HDT","Hidrotratamento e reação","TIC-303","Temperatura de entrada do reator","control_loop","TIC-303","cpm.pv","number","°C","30","-20..700","control.sluggish_tuning","TIC-303"
"SIG-0077","ns=2;s=Plant.ControlLoops.TIC-303.SP","SP — Temperatura de entrada do reator","Referência operacional ou supervisória para temperatura de entrada do reator.","HDT","Hidrotratamento e reação","TIC-303","Temperatura de entrada do reator","control_loop","TIC-303","cpm.sp","number","°C","30","-20..700","control.sluggish_tuning","TIC-303"
"SIG-0078","ns=2;s=Plant.ControlLoops.TIC-303.OP","OP — Temperatura de entrada do reator","Demanda calculada pelo controlador para referência de combustível do forno.","HDT","Hidrotratamento e reação","TIC-303","Temperatura de entrada do reator","control_loop","TIC-303","cpm.op","number","%","10","0..100","control.sluggish_tuning","TIC-303"
"SIG-0079","ns=2;s=Plant.ControlLoops.TIC-303.MODE","Modo — Temperatura de entrada do reator","Modo efetivo do controlador: automático, manual, cascata ou remoto.","HDT","Hidrotratamento e reação","TIC-303","Temperatura de entrada do reator","control_loop","TIC-303","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","control.sluggish_tuning","TIC-303"
"SIG-0080","ns=2;s=Plant.ControlLoops.TIC-303.MVFB","Resposta do elemento final — Temperatura de entrada do reator","Resposta física medida do elemento final: Referência de combustível do forno.","HDT","Hidrotratamento e reação","TIC-303","Temperatura de entrada do reator","control_loop","TIC-303","","number","%","10","0..100","control.sluggish_tuning","TIC-303"
"SIG-0081","ns=2;s=Plant.ControlLoops.TIC-304.PV","PV — Temperatura do leito catalítico","Variável de processo medida: Temperatura de saída do leito catalítico.","HDT","Hidrotratamento e reação","TIC-304","Temperatura do leito catalítico","control_loop","TIC-304","cpm.pv","number","°C","30","-20..700","control.oscillation","TIC-304"
"SIG-0082","ns=2;s=Plant.ControlLoops.TIC-304.SP","SP — Temperatura do leito catalítico","Referência operacional ou supervisória para temperatura de saída do leito catalítico.","HDT","Hidrotratamento e reação","TIC-304","Temperatura do leito catalítico","control_loop","TIC-304","cpm.sp","number","°C","30","-20..700","control.oscillation","TIC-304"
"SIG-0083","ns=2;s=Plant.ControlLoops.TIC-304.OP","OP — Temperatura do leito catalítico","Demanda calculada pelo controlador para referência da vazão de quench.","HDT","Hidrotratamento e reação","TIC-304","Temperatura do leito catalítico","control_loop","TIC-304","cpm.op","number","%","10","0..100","control.oscillation","TIC-304"
"SIG-0084","ns=2;s=Plant.ControlLoops.TIC-304.MODE","Modo — Temperatura do leito catalítico","Modo efetivo do controlador: automático, manual, cascata ou remoto.","HDT","Hidrotratamento e reação","TIC-304","Temperatura do leito catalítico","control_loop","TIC-304","cpm.mode","string","state","10","AUTO|MAN|CAS|REMOTE","control.oscillation","TIC-304"
"SIG-0085","ns=2;s=Plant.ControlLoops.TIC-304.MVFB","Resposta do elemento final — Temperatura do leito catalítico","Resposta física medida do elemento final: Referência da vazão de quench.","HDT","Hidrotratamento e reação","TIC-304","Temperatura do leito catalítico","control_loop","TIC-304","","number","%","10","0..100","control.oscillation","TIC-304"
"SIG-0086","ns=2;s=Plant.ControlLoops.PIC-305.PV","PV — Pressão do reator","Variável de processo medida: Pressão do sistema de reação.","HDT","Hidrotratamento e reação","PIC-305","Pressão do reator","control_loop","PIC-305","cpm.pv","number","bar","30","0..250","actuator.saturation","PIC-305"
