"loop_id","display_name_pt_br","area_code","area_name_pt_br","loop_kind","control_structure","controlled_variable_pt_br","pv_unit","manipulated_variable_pt_br","primary_scenario","scenario_description_pt_br","current_protocol","future_protocol_candidate","process_purpose_pt_br"
"AIC-405","Pureza do hidrogênio","H2C","Hidrogênio e compressão","analyzer","supervisory_bias","Pureza da corrente de hidrogênio","mol%","Razão de purga da PSA","sensor.drift","Desvio gradual da medição em relação ao estado físico simulado.","cpm.loop_performance_snapshot/1.0.0","data_quality.sensor_health (provisional)","Monitorar a qualidade do hidrogênio fornecido aos reatores."
"LIC-501","Nível do fundo do absorvedor de amina","AMSR","Amina e recuperação de enxofre","level","inventory_control","Nível de amina rica no absorvedor","%","Posição da válvula de amina rica","valve.stiction","Atrito estático com patamares na posição real e movimentos em saltos.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Manter inventário e evitar arraste no absorvedor."
"PIC-502","Pressão do cabeçalho de gás ácido","AMSR","Amina e recuperação de enxofre","pressure","split_range","Pressão do gás ácido","bar","Demanda do soprador e válvula para flare","process.disturbance","Perturbação externa de carga, composição ou utilidade que exige recuperação.","cpm.loop_performance_snapshot/1.0.0","cpm.disturbance_response (provisional)","Estabilizar o envio de gás ácido para recuperação de enxofre."
"TIC-503","Temperatura do reator de enxofre","AMSR","Amina e recuperação de enxofre","temperature","feedback_pid","Temperatura do reator Claus","°C","Posição da válvula de combustível","control.oscillation","Oscilação sustentada com período e amplitude reprodutíveis.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Manter conversão térmica adequada no reator de enxofre."
"AIC-504","H₂S no gás de cauda","AMSR","Amina e recuperação de enxofre","analyzer","ratio_control","Concentração de H₂S no gás de cauda","ppm","Bias da razão ar/gás ácido","sensor.noise","Ruído de medição de alta frequência acima do comportamento normal do processo.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Manter emissões e conversão dentro das metas operacionais."
"PIC-601","Pressão do vapor de alta","STEAM","Vapor, combustível e energia","pressure","plant_master","Pressão do cabeçalho de vapor de alta","bar","Demanda de geração das caldeiras","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Equilibrar geração e consumo de vapor de alta pressão."
"PIC-602","Pressão do vapor de média","STEAM","Vapor, combustível e energia","pressure","feedback_pid","Pressão do cabeçalho de vapor de média","bar","Posição da válvula de redução","process.disturbance","Perturbação externa de carga, composição ou utilidade que exige recuperação.","cpm.loop_performance_snapshot/1.0.0","cpm.disturbance_response (provisional)","Manter a rede de vapor de média durante variações de consumidores."
"FIC-603","Vazão de água de caldeira","STEAM","Vapor, combustível e energia","flow","three_element","Vazão de água de alimentação da caldeira","t/h","Posição da válvula de água de alimentação","actuator.saturation","Demanda do controlador mantida próxima a um limite físico do atuador.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Equilibrar água e vapor no tambor da caldeira."
"TIC-604","Temperatura do vapor superaquecido","STEAM","Vapor, combustível e energia","temperature","feedback_pid","Temperatura do vapor superaquecido","°C","Posição da válvula do dessuperaquecedor","control.aggressive_tuning","Sintonia agressiva com overshoot, reversões frequentes e oscilação local.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Manter a temperatura do vapor dentro do limite da turbina."
"PIC-605","Pressão do gás combustível","STEAM","Vapor, combustível e energia","pressure","feedback_pid","Pressão do cabeçalho de gás combustível","bar","Posição da válvula de gás complementar","data.bad_quality","Amostras presentes com qualidade OPC UA ruim ou incerta.","cpm.loop_performance_snapshot/1.0.0","","Estabilizar combustível para fornos e caldeiras."
"FIC-701","Vazão de água de resfriamento","UTIL","Água de resfriamento, ar e nitrogênio","flow","plant_master","Vazão de água de resfriamento","m³/h","Referência de velocidade das bombas","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Atender à demanda térmica dos consumidores da planta."
"TIC-702","Temperatura de retorno da água","UTIL","Água de resfriamento, ar e nitrogênio","temperature","cascade_primary","Temperatura de retorno da água de resfriamento","°C","Referência de velocidade dos ventiladores","control.propagated_oscillation","Oscilação recebida de uma variável compartilhada da planta.","cpm.loop_performance_snapshot/1.0.0","cpm.interaction_screen (provisional)","Manter capacidade térmica da torre de resfriamento."
"PIC-703","Pressão do ar de instrumentos","UTIL","Água de resfriamento, ar e nitrogênio","pressure","plant_master","Pressão do cabeçalho de ar de instrumentos","bar","Demanda de carga dos compressores","data.communication_loss","Perda temporária de comunicação e retorno posterior do sinal.","cpm.loop_performance_snapshot/1.0.0","","Garantir ar de instrumentos para válvulas e atuadores."
"PIC-704","Pressão da rede de nitrogênio","UTIL","Água de resfriamento, ar e nitrogênio","pressure","plant_master","Pressão do cabeçalho de nitrogênio","bar","Referência de produção de nitrogênio","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Fornecer inertização e purga aos consumidores."
"AIC-705","Condutividade da água de resfriamento","UTIL","Água de resfriamento, ar e nitrogênio","analyzer","feedback_pid","Condutividade da água circulante","µS/cm","Posição da válvula de purga","sensor.frozen","Valor de medição congelado enquanto variáveis relacionadas continuam mudando.","cpm.loop_performance_snapshot/1.0.0","data_quality.sensor_health (provisional)","Controlar concentração de sais na torre de resfriamento."
"LIC-801","Nível do tanque de petróleo","TANK","Tanques e mistura","level","inventory_control","Nível do tanque de petróleo","%","Velocidade da bomba de transferência","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Administrar estoque de petróleo para alimentação da unidade."
"LIC-802","Nível do tanque de produto","TANK","Tanques e mistura","level","inventory_control","Nível do tanque de produto","%","Posição da válvula de transferência","operations.manual","Períodos operacionais prolongados fora do modo automático.","cpm.loop_performance_snapshot/1.0.0","","Administrar recebimento e expedição de produto."
"FIC-803","Vazão do componente de mistura","TANK","Tanques e mistura","flow","ratio_control","Vazão do componente de mistura","m³/h","Posição da válvula do componente","valve.stiction","Atrito estático com patamares na posição real e movimentos em saltos.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Dosar um componente segundo a razão de mistura."
"AIC-804","Qualidade da mistura","TANK","Tanques e mistura","analyzer","supervisory_bias","Índice de qualidade estimado da mistura","index","Bias das razões de componentes","sensor.noise","Ruído de medição de alta frequência acima do comportamento normal do processo.","cpm.loop_performance_snapshot/1.0.0","cpm.oscillation_noise_screen (provisional)","Acompanhar a qualidade do produto misturado."
"FIC-901","Vazão de efluente para tratamento","WWT","Tratamento de efluentes","flow","feedback_pid","Vazão de efluente para a estação","m³/h","Referência de velocidade da bomba de entrada","operations.setpoint_activity","Mudanças frequentes de referência por campanha ou intervenção operacional.","cpm.loop_performance_snapshot/1.0.0","cpm.operational_interventions (provisional)","Regular a carga hidráulica da estação de tratamento."
"LIC-902","Nível do tanque de equalização","WWT","Tratamento de efluentes","level","inventory_control","Nível do tanque de equalização","%","Velocidade da bomba de saída","process.interaction","Resposta influenciada por outra malha ou variável de planta com defasagem.","cpm.loop_performance_snapshot/1.0.0","cpm.interaction_screen (provisional)","Amortecer variações de vazão e composição do efluente."
"AIC-903","pH do efluente tratado","WWT","Tratamento de efluentes","analyzer","split_range","pH do efluente tratado","pH","Demanda combinada de ácido e soda","sensor.drift","Desvio gradual da medição em relação ao estado físico simulado.","cpm.loop_performance_snapshot/1.0.0","data_quality.sensor_health (provisional)","Manter o pH dentro da faixa de descarte."
"AIC-904","Carbono orgânico no efluente","WWT","Tratamento de efluentes","analyzer","override_selector","Carbono orgânico total do efluente","mg/L","Posição da válvula de desvio ou reciclo","data.irregular_cadence","Amostragem com atrasos e intervalos irregulares.","cpm.loop_performance_snapshot/1.0.0","","Evitar descarte quando a carga orgânica excede o limite."
"PIC-1001","Pressão do cabeçalho de flare","FLARE","Flare e sistemas de proteção","pressure","override_selector","Pressão do cabeçalho de flare","bar","Demanda da recuperação e válvula de proteção","actuator.saturation","Demanda do controlador mantida próxima a um limite físico do atuador.","cpm.loop_performance_snapshot/1.0.0","cpm.valve_condition_screen (provisional)","Manter contrapressão segura no sistema de alívio."
"LIC-1002","Nível do vaso separador de flare","FLARE","Flare e sistemas de proteção","level","inventory_control","Nível do vaso separador de flare","%","Estado e velocidade da bomba de drenagem","data.gap","Intervalos determinísticos sem amostras históricas.","cpm.loop_performance_snapshot/1.0.0","","Evitar arraste de líquido para o flare."
"FIC-1003","Vazão de gás de purga do flare","FLARE","Flare e sistemas de proteção","flow","feedback_pid","Vazão de gás de purga","Nm³/h","Posição da válvula de purga","normal.steady","Referência saudável em regime estável e durante mudanças normais de carga.","cpm.loop_performance_snapshot/1.0.0","","Manter purga mínima segura no cabeçote do flare."
