"scenario_id","layer","display_name_pt_br","description_pt_br","injection_pattern","opcua_effect","primary_loop_ids","current_analytical_coverage","future_method_or_protocol_need"
"operations.setpoint_activity","operations","Mudanças frequentes de referência","A referência muda repetidamente por campanha, razão ou intervenção operacional.","Step or ramp changes every 20 to 90 minutes during one episode.","Good-quality SP changes with traceable timestamps.","FRC-302;FIC-901","Current snapshot sees tracking effects but does not count interventions.","Setpoint-activity and operational-interventions Methods."
"sensor.noise","sensor","Ruído de medição","Ruído de alta frequência é adicionado à medição sem equivalente no estado físico do processo.","Episode with gradual increase and decrease in amplitude.","Good-quality noisy values unless combined with a quality event.","AIC-307;AIC-504;AIC-804","PV variability is canonical but noise attribution is not.","Sensor-noise Method."
"sensor.drift","sensor","Deriva do instrumento","A medição se afasta lentamente do estado físico simulado e força compensação do controlador.","Monotonic bias growth over 12 to 48 hours.","Good-quality values with hidden measurement bias.","TIC-203;AIC-405;AIC-903","Data Quality can describe the available values but cannot infer calibration drift alone.","Sensor-health analysis with independent evidence."
"sensor.frozen","sensor","Medição congelada","O valor publicado permanece constante enquanto sinais relacionados continuam variando.","Episode of 30 minutes to 6 hours.","Good or uncertain quality depending on scenario variant.","AIC-705","Data Quality value integrity can identify low distinctness when configured.","Cross-signal sensor-health analysis is optional."
"data.gap","data_transport","Lacuna de dados","Nenhuma observação histórica é publicada durante intervalos determinísticos.","Several short gaps plus one longer outage in 72 hours.","Missing observations; no synthetic fill.","AIC-105;LIC-1002","Data Quality sampling and availability Methods are canonical.","None."
"data.bad_quality","data_transport","Qualidade ruim ou incerta","A observação existe, mas carrega código de qualidade OPC UA ruim ou incerto.","Bursts of 2 to 30 minutes.","Bad or uncertain status code with original timestamps retained.","PIC-605","Data Quality source-quality and value-integrity Methods are canonical.","None."
"data.communication_loss","data_transport","Perda de comunicação","Um nó fica temporariamente indisponível e volta sem reescrever o intervalo perdido.","Outage of 5 to 90 minutes followed by recovery.","BadNotConnected or timeout behavior plus a historical gap.","PIC-401;PIC-703","Data Quality and Source health facts cover the outage boundary.","None."
"data.irregular_cadence","data_transport","Cadência irregular","Amostras chegam com jitter, atrasos ou intervalos maiores do que a política esperada.","Deterministic jitter and skipped publication slots.","Source timestamps remain truthful; server timestamps expose delay.","AIC-904","Data Quality sampling integrity is canonical.","None."
"process.disturbance","process","Perturbação de processo","Mudanças externas de vazão, composição ou utilidade deslocam a malha e exigem recuperação.","Step, ramp, or pulse propagated through connected areas.","Good-quality physical response across several signals.","TIC-104;PIC-502;PIC-602","CPM snapshot records tracking and variability facts without root-cause attribution.","Disturbance-response Protocol and contextual investigation."
"process.interaction","process","Interação entre variáveis","Uma variável de planta ou outra malha influencia a PV com atraso e ganho definidos.","Shared driver active for 4 to 16 hours.","Good-quality correlated observations on separate nodes.","LIC-208;FIC-403;LIC-902","Current independent Results remain valid but do not assert interaction.","Interaction Method with explicit secondary Signal Role."
